workers,n_images,mode,tasks,time_mean,time_median,time_std,time_min,time_max,time_ci95,reps,compute_median,pool_setup_median,cpu_main_median,cpu_children_median,cpu_total_median,throughput_median,throughput_mean,imbalance_median,task_count,speedup,efficiency,speedup_compute,amdahl_serial_fraction,cpu_overhead_ratio,level,backend,scheduling,chunksize,ms_per_image
1,3000,sequential,1,0.7680251512855258,0.763370472999668,0.009306889250122505,0.7618727810004202,0.7876922020004713,0.008607747031933262,7,0.763370472999668,0.0,0.7630170000000005,0.0,0.7630170000000005,3929.939794778131,3906.605239602734,1.0,1,1.0,1.0,1.0,nan,0.9995369574640757,light,sequential,-,-,0.2544568243332227
1,3000,process/dynamic,188,0.7980774445703511,0.788483243999508,0.02506082064971887,0.7815443879990198,0.8531267450016458,0.023178228382011744,7,0.7803331620016252,0.00763924500279245,0.03203899999999926,0.7837779999999999,0.8158169999999991,3804.7733072712854,3762.057489380342,1.0,188,0.9681505330760641,0.9681505330760641,0.9782622476809183,nan,1.068703897852169,light,process,dynamic,16,0.262827747999836
2,3000,process/dynamic,188,0.432818732285211,0.42484273300215136,0.016458383294701652,0.4203009699995164,0.4644109449982352,0.015222014160480461,7,0.41359408800053643,0.011112981999758631,0.033900999999998405,0.8330289999999998,0.8662259999999993,7061.436543354523,6939.569586309236,1.0020919685970677,188,1.7968307180525607,0.8984153590262803,1.8456996730540256,0.11307090863163682,1.134738676223826,light,process,dynamic,16,0.14161424433405045
4,3000,process/dynamic,188,0.27725989457082634,0.2766806149993499,0.004108341415952799,0.27136145099939313,0.283592634001252,0.003799718969350658,7,0.26077601599899936,0.015781927002535667,0.0407270000000004,1.0561380000000007,1.104851,10842.826845700949,10822.205886331512,1.004301927794069,188,2.759031285952077,0.6897578214880192,2.9273032263925574,0.14992807081316997,1.4473326374001376,light,process,dynamic,16,0.09222687166644998
6,3000,process/dynamic,188,0.20394273685711337,0.2029785720005748,0.004144932595096613,0.19910381299996516,0.21162591900065308,0.0038335613849210335,7,0.1834855310007697,0.01969271000052686,0.04124099999999764,1.1186770000000017,1.1601780000000002,14779.88523828764,14715.143942623175,1.009977154932001,188,3.7608426617441486,0.6268071102906915,4.160385120483782,0.11907742703691877,1.5198098970753677,light,process,dynamic,16,0.0676595240001916
8,3000,process/dynamic,188,0.191694223714876,0.19065333000253304,0.002730485170328144,0.1889562130018021,0.19710817799932556,0.00252536857256795,7,0.16685096700166469,0.024288739998155506,0.04765599999999992,1.3437550000000016,1.393707999999993,15735.366384422143,15652.606343220077,1.0135353104653348,188,4.003971359899802,0.5004964199874753,4.575163612878862,0.14257375565101787,1.825729510500204,light,process,dynamic,16,0.06355111000084435
10,3000,process/dynamic,188,0.1867652072848744,0.1843464000012318,0.010137046288148644,0.1794327860006888,0.20854955300092115,0.00937554189744259,7,0.15410848799729138,0.028502236000349512,0.0511949999999981,1.5371720000000053,1.5947120000000048,16273.71079652195,16100.569609064192,1.0223161896218893,188,4.140956769400255,0.41409567694002547,4.953461570611769,0.1572112049588623,2.0890407166700804,light,process,dynamic,16,0.0614488000004106
12,3000,process/dynamic,188,0.178184997999259,0.17814254299810273,0.0022983968089463212,0.17487595499915187,0.18117747599899303,0.0021257390926997617,7,0.14430650400026934,0.03348135499982163,0.054721000000000686,1.7186569999999932,1.776204,16840.44669796788,16838.837752503772,1.0367141222453509,188,4.285166587117812,0.35709721559315105,5.289924236528128,0.16366889777135205,2.3267915944146984,light,process,dynamic,16,0.05938084766603424
14,3000,process/dynamic,188,0.1737580085718946,0.17384071800188394,0.001699057500359304,0.17175036600019666,0.17681836599876988,0.0015714227130842072,7,0.13560416200198233,0.03792440200413694,0.05739399999999861,1.8765829999999966,1.935386999999995,17257.17676780125,17266.79910429978,1.0395355031426379,188,4.391206397291774,0.3136575998065553,5.629402975024532,0.16832230202045367,2.5353181298654146,light,process,dynamic,16,0.057946906000627976
16,3000,process/dynamic,188,0.17919488771388256,0.17564580899852444,0.010905097232618299,0.17010074100107886,0.20330613999976777,0.010085896137184422,7,0.13297419500304386,0.04267871599950013,0.06370299999999851,2.052859000000012,2.1165620000000107,17079.82682368016,16789.959605316988,1.0652030586421548,188,4.346078493715047,0.27162990585719043,5.740741449739131,0.17876531718019556,2.7726537439717442,light,process,dynamic,16,0.05854860299950815
20,3000,process/dynamic,188,0.18003460857081727,0.1798772980000649,0.002460709023590729,0.1770917770008964,0.18487464400095632,0.0022758582620917823,7,0.12757833499927074,0.05198183600077755,0.12015899999999746,2.382097999999999,2.5022569999999966,16678.035712983175,16666.098910594425,1.0700726017263773,188,4.2438400036417745,0.21219200018208872,5.983543154125907,0.1954059479254806,3.2779064536873763,light,process,dynamic,16,0.05995909933335497
24,3000,process/dynamic,188,0.19054665442828472,0.19072326899913605,0.001934159653435189,0.1878157410028507,0.19246583499989356,0.001788863772707156,7,0.12595894900005078,0.0641384799964726,0.12214099999999917,2.440476000000018,2.559878999999988,15729.596161722613,15745.571571295297,1.074270414212794,188,4.002503087355985,0.16677096197316602,6.060470328307997,0.21722816161039268,3.3533901173056,light,process,dynamic,16,0.06357442299971203
32,3000,process/dynamic,188,0.2183887887149467,0.212798661999841,0.014593672122707521,0.21157698599927244,0.2513467179996951,0.013497381834385681,7,0.13238803800049936,0.08136099400144303,0.1291399999999996,2.5610810000000015,2.681427000000003,14097.833002362777,13783.911729663236,1.1595863407619962,188,3.587289815761334,0.1121028067425417,5.766158971226604,0.25549623400213883,3.5126155580308502,light,process,dynamic,16,0.07093288733328033
40,3000,process/dynamic,188,0.23629851442767955,0.23466591000033077,0.006093710206828743,0.2283441990002757,0.2455066029979207,0.005635945001236703,7,0.13150657000005594,0.10488592900219373,0.14950599999999525,2.680140999999992,2.8251479999999916,12784.1321306353,12702.985943831382,1.1799357223917244,188,3.253009663817774,0.08132524159544435,5.804808634270844,0.2896488540814096,3.700887183779271,light,process,dynamic,16,0.07822197000011026
1,3000,sequential,1,3.3245638414290233,3.328011500001594,0.019102987861384042,3.2972589700002572,3.3529708230016695,0.01766795356060794,7,3.328011500001594,0.0,3.3262360000000015,0.0,3.3262360000000015,901.4391927427424,902.3995719262748,1.0,1,1.0,1.0,1.0,nan,0.9994664982372833,medium,sequential,-,-,1.109337166667198
1,3000,process/dynamic,188,3.340815594285232,3.340325926998048,0.02085204435503168,3.308101506001549,3.374444624001626,0.01928561929587828,7,3.332087505998061,0.008998602999781724,0.03455000000000297,3.334276000000017,3.3707910000000183,898.115952025107,898.0142859384222,1.0,188,0.9963134055581453,0.9963134055581453,0.9987767410102136,nan,1.0128543726481727,medium,process,dynamic,16,1.113441975666016
2,3000,process/dynamic,188,1.7592376959998677,1.7586271860018314,0.013679122595215944,1.7397773229968152,1.77966062500127,0.012651534122088259,7,1.7474162190010247,0.011210967000806704,0.0356959999999944,3.4971829999999784,3.5326729999999813,1705.876051433266,1705.3723236219305,1.0013379183578524,188,1.8923917055824067,0.9461958527912033,1.9045327975175685,0.056863647256621075,1.0614966324480217,medium,process,dynamic,16,0.5862090620006104
4,3000,process/dynamic,188,1.0149638058563661,1.010186267998506,0.024203704110221626,0.9846262999999453,1.0501505009997345,0.022385499237976725,7,0.9937834390002536,0.016402828998252517,0.04129300000000313,3.9608070000000453,4.002339000000049,2969.7493373612524,2957.2002617926637,1.0048121210344643,188,3.2944533156201206,0.8236133289050301,3.3488297041351127,0.07138733064194532,1.202621745747613,medium,process,dynamic,16,0.336728755999502
6,3000,process/dynamic,188,0.8100815455701584,0.8040901419990405,0.016653322396744424,0.8024438519969408,0.8477869859998464,0.01540230925499814,7,0.7816112679975049,0.02261822100263089,0.05881000000000114,4.666474999999991,4.713859000000021,3730.924983785686,3704.622992475458,1.011538351505606,188,4.138853750560674,0.689808958426779,4.257885775531345,0.08993534739840485,1.4164190838877098,medium,process,dynamic,16,0.2680300473330135
8,3000,process/dynamic,188,0.7595165169997407,0.7575783879983646,0.00843066615895197,0.7523451470005966,0.7766389089993027,0.007797346638242612,7,0.7288964299987128,0.028028107997670304,0.06296300000000343,5.758243999999991,5.822147999999991,3959.9862503026893,3950.2928150022594,1.0183687521632256,188,4.392959926951847,0.5491199908689809,4.565822197822358,0.11729937162536909,1.7494374643829214,medium,process,dynamic,16,0.25252612933278823
10,3000,process/dynamic,188,0.7243426222854136,0.7280578550016799,0.008324011044223902,0.7120250079969992,0.7314089159990544,0.007698703555407072,7,0.6917830929996853,0.033722750002198154,0.07056300000000704,6.7776700000000005,6.847593000000003,4120.551655875038,4142.159190652523,1.0193925906996495,188,4.571081099034245,0.45710810990342454,4.8107731074646365,0.13196292040100996,2.0575629020502855,medium,process,dynamic,16,0.24268595166722662
12,3000,process/dynamic,188,0.6990191495715408,0.6944208770000841,0.011324608725943106,0.6878244380022807,0.7163948369998252,0.010473893535077706,7,0.6550752309995005,0.03934671300157788,0.07718500000000006,7.771000000000015,7.849201000000015,4320.146613333511,4292.683879597375,1.0183440845473182,188,4.792499203622288,0.39937493363519067,5.080350076622164,0.13671934355878654,2.3585258043718467,medium,process,dynamic,16,0.23147362566669472
14,3000,process/dynamic,188,0.6813009299995818,0.6780213120000553,0.008993803217163207,0.6689006439992227,0.6952042379998602,0.008318180314363299,7,0.6347230389983451,0.04412683400005335,0.07984799999999836,8.670954999999935,8.751808999999938,4424.639678582485,4403.996804896842,1.0304845689154387,188,4.9084172445619565,0.3506012317544255,5.243249883056901,0.14248025072112483,2.62974121333287,medium,process,dynamic,16,0.22600710400001844
16,3000,process/dynamic,188,0.6652091594280917,0.6600526209986128,0.019176224605223346,0.6397296260001895,0.6999925819982309,0.017735688691806896,7,0.6081921320001129,0.05186048899849993,0.08719799999999367,9.51651100000015,9.602362000000156,4545.092170774525,4513.020759712337,1.0298698691736548,188,5.0420396709682755,0.3151274794355172,5.471973945235082,0.1448879295433674,2.885315149901242,medium,process,dynamic,16,0.22001754033287096
20,3000,process/dynamic,188,0.6472189598571276,0.6353574480017414,0.025556628649414,0.6319673869984399,0.7030136559988023,0.02363679082141418,7,0.5732435369973246,0.06247220300065237,0.12338199999999233,10.729998000000023,10.84411100000002,4721.75152653877,4641.04641933159,1.0514546849739685,188,5.238014460157037,0.26190072300785183,5.805580499753853,0.14832845790518548,3.258435555284237,medium,process,dynamic,16,0.21178581600058047
24,3000,process/dynamic,188,0.6590969577144798,0.6555588449991774,0.02311590437254634,0.6373446310026338,0.7083460080029909,0.02137941603319496,7,0.5786189520003973,0.07455003499853774,0.15804900000000544,10.994566999999961,11.170373000000112,4576.248223763596,4556.261578545169,1.0576231945596581,188,5.076602238515705,0.21152509327148772,5.751646206015231,0.16206832557614714,3.356470673251809,medium,process,dynamic,16,0.21851961499972578
