workers,n_images,mode,tasks,time_mean,time_median,time_std,time_min,time_max,time_ci95,reps,compute_median,pool_setup_median,cpu_main_median,cpu_children_median,cpu_total_median,throughput_median,throughput_mean,imbalance_median,task_count,speedup,efficiency,speedup_compute,amdahl_serial_fraction,cpu_overhead_ratio,pipeline_scope,backend,io_fraction
1,1500,sequential,1,1.8604021361999912,1.854023153999151,0.013648572954762288,1.8508654559991555,1.88401147300101,0.01694422481949061,5,1.854023153999151,0.0,1.8530619999999942,0.0,1.8530619999999942,809.0513846952134,806.3117238464936,1.0,1,1.0,1.0,1.0,nan,0.9994815846840512,compute,sequential,
1,1500,process/dynamic,94,1.9515130530016904,1.941396642003383,0.020911385245116716,1.9319203860031848,1.9753391699996428,0.02596075165181308,5,1.907856666999578,0.03347345200018026,0.031886999999997556,1.9251000000000005,1.9563369999999907,772.6396386737885,768.7047516950612,1.0,94,0.9549945198658277,0.9549945198658277,0.9717832508429005,nan,1.0551847725203147,compute,process,
2,1500,process/dynamic,94,1.0486846937994414,1.0382552839982964,0.025901646680798886,1.0296666220019688,1.094079251997755,0.03215598627117519,5,0.9877556840001489,0.051927455999248195,0.04514599999998836,2.0137959999999993,2.0589419999999876,1444.7313903605052,1431.0414661029677,1.0022246037386275,94,1.7857102993585083,0.8928551496792542,1.8770058062241144,0.12000250024792503,1.1105265840714147,compute,process,
4,1500,process/dynamic,94,0.6558397130000231,0.6526577229997201,0.008672393552279906,0.6505865229992196,0.6712249660013185,0.010766472550645558,5,0.5749304579985619,0.07684157900075661,0.0718079999999901,2.3606009999999955,2.4318209999999922,2298.295028373767,2287.4588396873432,1.01255944213512,94,2.8407281315507333,0.7101820328876833,3.224778106996357,0.13602989735550985,1.3116454315872614,compute,process,
8,1500,process/dynamic,94,0.5201598965999438,0.5107123820016568,0.020996687556455212,0.5087129679995996,0.5575508189976972,0.02606665148073529,5,0.3794183719983266,0.13254392499948153,0.12718699999999217,3.122735000000006,3.2492260000000073,2937.0738851503584,2887.303217959995,1.029693546859117,94,3.6302686587166715,0.45378358233958394,4.886487557875368,0.1719562360681381,1.7525271963251303,compute,process,
14,1500,process/dynamic,94,0.5427109735996055,0.5349821819982026,0.01902780035151293,0.5232315430002927,0.5697832189980545,0.023622347042803558,5,0.32259950200023013,0.21254009600306745,0.20655699999998944,4.523837,4.7292910000000035,2803.8316984640055,2766.5829457304267,1.067548991346919,94,3.465579259246021,0.24754137566043008,5.7471358216722495,0.23382528471080896,2.5508262881177424,compute,process,
20,1500,process/dynamic,94,0.5961259414005327,0.5927521260018693,0.004761970572359644,0.5925778259988874,0.6021690840025258,0.005911819516171937,5,0.2903165360003186,0.304694145997928,0.3024059999999906,5.920277999999996,6.213151999999994,2530.5687389390646,2516.3748521703587,1.0952755232418812,94,3.127822023186306,0.1563911011593153,6.386212716443807,0.28390661636690806,3.35117281928122,compute,process,
1,1500,sequential,1,4.111911973600217,4.119059491000371,0.019327790634664836,4.077792328000214,4.125009330000466,0.023994774462009677,5,4.119059491000371,0.0,4.117545000000007,0.0,4.117545000000007,364.16080012374476,364.80028762629865,1.0,1,1.0,1.0,1.0,nan,0.9996323211636848,end_to_end,sequential,0.5498916298611469
1,1500,process/dynamic,94,4.090715872398869,4.095522985000571,0.01954994560766132,4.061836679997214,4.110280151999177,0.02427057207247758,5,4.087866013000166,0.007656972000404494,0.019598000000002003,4.090777000000003,4.109718999999998,366.2535909317552,366.69070143421334,1.0,94,1.0057468865602757,1.0057468865602757,1.0076307486353524,nan,0.9977323728825037,end_to_end,process,
2,1500,process/dynamic,94,2.1351907517993824,2.1277404889988247,0.02983914488707501,2.1065490699984366,2.176770097001281,0.037044252249942164,5,2.1172869760011963,0.010038617998361588,0.022510999999994397,4.23219499999999,4.2484719999999925,704.9731899898195,702.622554039098,1.0017482327086427,94,1.935884339418916,0.967942169709458,1.945442227571726,0.03311957190600001,1.031417975215549,end_to_end,process,
4,1500,process/dynamic,94,1.294084686000133,1.2963418990002538,0.01746532398144236,1.2705371949996334,1.3108489229998668,0.021682587408051436,5,1.2830712979994132,0.013270601000840543,0.024903000000009,5.043228999999997,5.063635000000005,1157.1021511815736,1159.2899979879662,1.0193563057038393,94,3.1774483985876047,0.7943620996469012,3.2103122386284215,0.08629058059899301,1.2293182487564,end_to_end,process,
8,1500,process/dynamic,94,0.8766050319994975,0.8671840360002534,0.027039573343618273,0.8582922719979251,0.9240021589976095,0.033568682328617344,5,0.8472651169977325,0.01993634400423616,0.03640899999999192,6.566771000000017,6.603180000000009,1729.7366392011877,1712.4035957158624,1.0343620383211476,94,4.749925413755157,0.5937406767193947,4.861594568647153,0.09774813897477376,1.6030795414407415,end_to_end,process,
14,1500,process/dynamic,94,0.7047217203995387,0.7052658009997685,0.005357706752146461,0.6980432599993946,0.710295977001806,0.006651405097526813,5,0.6739919639985601,0.031005693999759387,0.04437599999999975,9.32970400000005,9.375021000000046,2126.857700846453,2128.598280843407,1.0191511782001283,94,5.840435599119208,0.4171739713656577,6.1114370957235495,0.10746780602501807,2.2760100990246177,end_to_end,process,
20,1500,process/dynamic,94,0.6801799876011501,0.672919817003276,0.029631573402255616,0.654656505001185,0.731326059998537,0.03678655952876519,5,0.6302769469984923,0.042855409999901894,0.06941000000000486,11.76107300000001,11.833582000000007,2229.0917314338767,2208.500371292375,1.0627472840850394,94,6.121174301782107,0.3060587150891053,6.535316753398921,0.1193340484063417,2.8728844596332976,end_to_end,process,
