workers,n_images,mode,tasks,time_mean,time_median,time_std,time_min,time_max,time_ci95,reps,compute_median,pool_setup_median,cpu_main_median,cpu_children_median,cpu_total_median,throughput_median,throughput_mean,imbalance_median,task_count,section,core_type,cpu,samples,freq_p_mean_mhz,freq_e_mean_mhz,freq_p_busy_mhz,freq_e_busy_mhz,freq_max_mhz,temp_mean_c,temp_max_c,speedup,efficiency,speedup_compute,amdahl_serial_fraction,cpu_overhead_ratio,affinity,n_cpus
1,1500,sequential,1,10.238904300600552,10.216959133002092,0.0660705792581335,10.17371202099821,10.31540642300024,0.08202430778766244,5,10.216959133002092,0.0,10.166180000000004,0.0,10.166180000000004,146.81472055171554,146.5049238325618,1.0,1,A_core_type,P-core,0,1197,1205.6816335978835,483.8273510860484,3384.9921002233386,1838.90757980456,4700.0,95.89974937343358,96.0,,,,,,,
1,1500,sequential,1,16.032121967800048,16.060653918000753,0.1335038640701558,15.903094188997784,16.224809069000912,0.1657403667455308,5,16.060653918000753,0.0,16.340151000000006,0.0,16.340151000000006,93.39594811384377,93.56733919937062,1.0,1,A_core_type,E-core,12,1845,612.870785862692,1213.216653794038,2701.940158653846,3259.292329800345,4653.71,96.01029810298103,97.0,,,,,,,
1,1500,process/dynamic,94,9.944608556399908,9.9546886370008,0.06538856125489746,9.840171988998918,10.021654766998836,0.08117760634744049,5,9.944611412000086,0.008412483995925868,0.07850000000001955,9.943659999999998,10.023798999999997,150.6827641423778,150.84073793029492,1.0,94,B_frequency,,,687,1021.0081227559436,487.14480021834066,3290.3470792141948,2074.2820476190477,4586.11,96.0,96.0,1.0012044966381621,1.0012044966381621,1.0022190524178054,nan,1.0057310939634938,,
2,1500,process/dynamic,94,5.301111314199079,5.32324515199798,0.054764338602114083,5.206147140001121,5.339880771996832,0.06798800639748573,5,5.311974680000276,0.011547660997166531,0.058130000000005566,10.614681999999988,10.671107000000006,281.78300212925626,282.9839889109024,1.0013853039930336,94,B_frequency,,,365,1320.3567623287672,525.9123780821918,3270.0264545454547,1973.0203680981595,4376.311,96.0,96.0,1.8722938248029424,0.9361469124014712,1.8762662901091804,0.06820840484826074,1.070678304394522,,
4,1500,process/dynamic,94,3.253524870800902,3.2716251090023434,0.04769978563984974,3.196344808999129,3.309045302001323,0.0592176115702347,5,3.2558976319996873,0.015571168001770275,0.05544499999999175,12.786620999999997,12.845043000000004,458.48773928056,461.117908374739,1.018526851789224,94,B_frequency,,,224,1733.7181287202382,652.0306517857143,3044.0031017463934,1786.67826953125,4420.761,96.0,96.0,3.0464000898432033,0.7616000224608008,3.0611155977519924,0.10434172378694113,1.2887987028070023,,
6,1500,process/dynamic,94,2.568050854399189,2.6040297219988133,0.0994533957502259,2.4457389620001777,2.6905125259982015,0.12346790409803318,5,2.5821344809992297,0.02189524099958362,0.06777400000001421,15.178207999999984,15.24570399999999,576.0302915623494,584.8053197470497,1.0212965024019214,94,B_frequency,,,175,2022.4390704761906,1027.5758621428572,2794.1305211267604,2019.0233597560975,4186.67,95.41714285714286,96.0,3.827406016835994,0.6379010028059989,3.8598605530960306,0.11352827338449067,1.52966740076927,,
8,1500,process/dynamic,94,2.3457159671997942,2.3354711789979774,0.09864893396966772,2.232763038002304,2.5046546939993277,0.12246919300100897,5,2.3098227880000195,0.025648390997957904,0.07860100000002035,17.961094000000003,18.039695000000023,642.26868371956,640.3463381122341,1.024722626416868,94,B_frequency,,,163,1832.1957387525563,1448.0227745398774,2557.3198918918915,2057.4019280487805,3600.0,93.93865030674847,96.0,4.26752387938873,0.5334404849235912,4.314910683961065,0.12494619583696731,1.8100005982879146,,
12,1500,process/dynamic,94,2.0792760411997735,2.054499208999914,0.10546735290929128,1.950097762997757,2.2125792100014223,0.13093402106833762,5,2.0213689990014245,0.03633170199827873,0.08048600000000761,23.129222000000027,23.209708000000035,730.104929429575,722.8869393546304,1.0498509379128904,94,B_frequency,,,142,1822.2179583333334,1777.8993433098592,2344.7793042776434,1887.670479047619,3800.0,93.84507042253522,95.0,4.8511476579490065,0.4042623048290839,4.930657901116349,0.13396740591770556,2.3287303563662136,,
14,1500,process/dynamic,94,2.0571480548002,2.070668719999958,0.06890347585896964,1.9595089909998933,2.1218689559973427,0.0855412495993842,5,2.028728361001413,0.04210322000290034,0.0885849999999948,27.678988000000004,27.76638600000001,724.4036602822833,729.8288859771264,1.0361119541992818,94,B_frequency,,,141,1869.916421394799,1630.811389184397,2156.506573654391,1692.7988182665424,3300.033,93.43971631205673,96.0,4.813265844861085,0.34380470320436324,4.912771575332198,0.1468175415330719,2.785921561993877,,
20,1500,process/dynamic,94,1.961148738799966,1.967151641001692,0.037941874199234144,1.9160640199988848,2.002954471998237,0.04710350661827492,5,1.904453058999934,0.05966391900074086,0.12630700000002548,34.20426500000008,34.3331280000001,762.5238282271854,765.0875007014503,1.0642193901608907,94,B_frequency,,,129,1937.4065872093022,1534.8859127906978,2026.4683932738503,1610.6710890269153,3800.041,94.63565891472868,96.0,5.066553497077069,0.25332767485385344,5.233355045900538,0.15512929430792025,3.444791179734228,,
1,1500,process/dynamic,94,10.479455712200433,10.464359800000238,0.1353657846657316,10.309059786999569,10.684804300002725,0.16805187588806486,5,10.455824623000808,0.008535176999430405,0.08056900000002543,10.360836999999947,10.455935999999951,143.34369504381584,143.15622674178738,1.0,94,C_affinity,,,736,1270.612098165761,491.4364463315218,3134.520985529918,1851.4428981481483,3905.104,95.97554347826087,96.0,0.9524403992681704,0.9524403992681704,0.9532178843238474,nan,1.0490892676212116,1 P-core,1
